518,247,3,9
247,155,3,19
318,273,15,25
189,318,20,25
517,121,2,28
259,369,14,30
360,163,17,31
201,200,7,41
150,348,29,42
219,215,1,44
318,242,20,53
348,396,29,58
339,2,35,59
397,18,48,60
158,597,13,61
518,152,9,64
165,262,18,65
620,122,24,66
437,200,41,69
185,200,69,78
147,369,30,79
337,147,26,79
293,199,37,80
336,337,26,81
301,161,22,85
246,396,58,86
228,208,4,90
422,313,49,92
337,369,79,94
419,397,48,101
40,631,77,102
247,529,19,103
443,512,76,105
623,346,95,110
18,419,48,111
239,151,11,120
272,397,101,127
540,449,36,128
347,348,42,131
125,517,2,134
555,433,82,135
433,227,63,135
397,17,60,139
17,351,56,139
19,419,111,142
258,350,23,147
561,134,73,148
225,274,122,149
304,282,126,150
580,323,67,152
280,220,115,153
326,149,89,154
229,299,12,155
453,688,45,156
217,453,51,156
361,339,35,159
213,416,68,160
588,290,109,162
158,173,61,163
472,255,84,166
152,472,100,166
255,152,64,166
483,637,75,167
480,396,86,170
334,600,145,173
144,202,54,175
541,309,116,176
265,457,106,177
432,259,14,179
319,221,161,180
527,175,138,181
421,268,8,182
550,472,84,183
361,179,159,184
299,230,12,185
333,206,32,186
249,355,143,187
427,425,168,190
416,383,68,191
247,598,103,192
701,434,98,193
242,189,20,194
354,326,89,195
708,202,175,197
368,87,10,198
343,134,148,200
261,366,57,201
701,3,193,202
392,244,40,205
419,272,101,206
272,281,196,206
189,273,25,207
401,22,113,210
129,620,24,211
218,378,189,212
238,310,141,213
504,206,186,216
407,158,16,218
152,247,9,219
542,657,52,221
358,151,120,222
151,350,147,222
125,327,134,223
422,249,92,224
219,280,115,225
301,479,85,226
182,301,164,226
196,454,108,227
288,511,199,232
188,288,43,232
376,130,174,234
129,376,211,234
355,586,143,235
434,234,71,237
88,368,10,238
441,557,151,239
595,160,70,241
283,319,229,242
134,418,73,243
414,242,53,245
565,238,141,246
583,146,50,247
364,156,114,248
81,483,75,249
427,81,240,249
611,433,63,250
433,376,174,250
271,508,39,252
206,387,32,254
126,327,223,256
156,400,114,257
240,156,136,257
400,364,114,258
579,439,251,260
164,271,39,261
320,322,129,262
375,164,46,263
590,261,57,264
261,289,244,264
441,177,239,265
154,253,169,266
416,212,191,267
212,275,119,267
452,58,123,268
58,370,87,268
604,375,46,269
244,278,40,270
253,335,169,274
364,390,55,275
331,165,171,276
360,601,178,277
295,360,34,277
428,179,184,280
329,268,83,282
221,489,161,283
272,221,127,283
657,469,52,284
469,234,237,284
319,393,180,285
220,441,151,286
42,654,38,288
484,385,47,289
312,159,125,290
380,453,45,291
12,380,62,291
475,632,273,292
264,475,215,292
378,316,189,293
469,4,281,294
434,469,237,294
481,244,205,296
712,676,236,297
360,162,34,299
687,375,269,301
375,253,266,301
422,352,224,302
567,419,142,303
419,281,206,303
500,61,172,306
224,300,72,308
377,568,132,310
276,127,133,312
375,408,263,313
154,375,266,313
463,535,93,316
535,362,93,317
165,535,171,317
362,165,18,317
434,4,294,318
3,434,193,318
323,314,67,319
274,218,6,320
24,650,21,321
205,390,275,322
434,284,98,324
372,434,71,324
284,372,97,324
362,463,93,326
488,711,259,327
540,341,128,329
161,540,22,329
377,26,99,330
632,308,273,331
544,189,194,332
230,485,253,333
456,265,106,334
265,40,77,334
620,128,66,336
127,620,133,336
621,337,81,337
285,387,254,338
38,409,130,339
81,473,240,340
424,280,225,341
329,228,4,342
428,665,280,343
326,428,154,343
59,452,123,346
631,196,108,347
396,150,29,348
354,531,195,350
533,565,311,353
178,527,138,354
166,178,188,354
205,391,322,355
202,329,83,356
197,346,110,357
170,197,33,357
12,453,291,359
604,687,269,360
632,231,331,363
383,213,68,364
192,598,192,365
656,378,212,366
528,707,361,369
485,196,347,370
390,302,55,371
62,500,172,372
340,62,27,372
664,636,344,373
636,165,276,373
262,362,18,374
329,641,282,376
208,329,4,376
456,40,334,377
163,546,17,378
437,163,74,378
393,221,180,379
656,143,366,382
143,565,353,382
449,627,287,383
697,486,380,385
486,242,245,385
387,333,32,388
238,402,213,389
546,360,17,390
360,345,299,390
334,198,173,391
391,390,322,394
240,400,257,395
556,430,375,396
219,424,225,397
297,219,1,397
546,345,390,398
527,546,181,398
228,495,137,399
513,327,256,400
365,513,157,400
200,704,7,401
328,200,124,401
267,707,369,402
319,671,285,403
257,319,242,403
246,435,144,404
348,246,58,404
472,494,100,405
426,634,362,406
281,426,196,406
503,410,328,408
410,206,216,408
576,343,295,409
246,480,86,410
598,529,103,412
462,87,198,413
337,291,94,414
490,412,323,415
412,144,54,415
345,162,299,416
380,11,62,417
177,443,76,419
444,55,272,420
55,388,146,420
177,363,419,421
270,177,265,421
643,220,153,422
483,386,167,423
364,205,275,424
287,364,258,424
402,138,358,425
138,357,351,425
398,262,65,426
285,474,338,427
330,208,90,428
586,249,143,429
249,313,92,429
626,262,426,430
389,24,411,431
24,325,321,431
169,176,112,435
461,158,218,436
320,461,262,436
158,320,163,436
563,355,187,437
557,220,151,438
220,219,115,438
521,194,255,439
263,521,418,439
194,263,96,439
15,395,220,440
204,480,410,441
528,267,369,442
573,591,325,443
149,354,89,444
360,594,31,445
257,360,178,445
410,20,328,446
234,372,71,447
309,234,116,447
246,204,410,448
628,261,244,449
194,561,255,451
311,692,304,453
235,311,349,453
351,16,56,455
262,624,374,456
392,481,205,457
91,392,140,457
441,270,265,458
379,236,121,460
231,579,251,461
191,231,363,461
676,179,236,463
179,339,159,463
42,669,288,465
158,406,16,466
239,158,13,466
641,268,282,467
356,230,185,468
230,251,333,468
680,431,367,469
431,141,228,469
306,217,51,470
229,260,155,471
195,564,208,472
218,656,212,473
429,218,320,473
172,529,412,474
331,172,335,474
407,461,218,475
202,412,54,476
276,390,394,477
414,486,245,478
53,414,158,478
595,468,241,479
397,351,139,480
221,397,127,480
457,148,298,481
454,457,177,481
386,228,137,482
330,386,423,482
228,330,90,482
480,287,170,483
287,205,424,483
631,485,347,484
1,631,102,484
526,477,204,485
477,243,450,485
88,464,238,486
164,491,261,487
408,164,263,487
394,693,433,488
374,293,37,489
383,346,364,490
148,383,298,490
346,148,95,490
407,240,136,491
406,407,16,491
424,514,341,492
76,424,88,492
594,163,31,493
163,283,104,493
224,358,308,494
20,503,328,495
445,16,455,496
15,445,440,496
659,409,339,498
151,344,11,499
381,231,454,500
231,308,331,500
138,554,358,501
355,174,235,502
91,481,457,503
162,295,34,505
511,596,199,506
525,422,49,507
422,7,214,507
143,378,366,508
392,90,140,509
604,236,360,510
236,305,121,510
512,215,44,511
170,512,105,511
215,170,33,511
620,276,133,512
276,611,477,512
583,461,475,513
266,583,50,513
627,290,287,514
290,333,109,514
459,477,305,516
510,264,215,517
186,211,387,518
389,325,431,519
268,389,8,519
325,268,467,519
567,20,446,520
19,567,142,520
421,26,330,523
341,449,128,524
594,283,493,525
257,594,445,525
283,257,242,525
573,60,443,526
59,573,346,526
701,2,202,527
2,361,35,527
351,445,455,529
571,132,300,530
448,127,312,532
159,450,125,533
288,250,43,534
415,264,517,535
676,230,253,537
229,676,297,537
230,229,12,537
513,145,157,538
145,448,209,538
474,82,345,539
473,474,427,539
82,473,340,539
470,223,531,540
432,250,534,541
369,432,14,541
699,357,407,542
357,137,351,542
175,178,138,543
602,489,271,544
319,602,229,544
489,319,161,544
502,480,441,545
205,502,355,545
480,205,483,545
710,576,295,546
678,291,279,547
291,369,94,547
273,446,15,548
249,563,187,549
352,249,224,549
646,454,227,550
478,11,417,551
427,483,249,552
286,427,168,552
422,578,302,553
8,422,214,553
396,545,348,554
287,396,170,554
631,265,77,558
454,631,108,558
265,454,177,558
411,274,149,559
263,411,96,559
430,707,402,560
415,691,535,561
188,511,232,563
457,456,106,564
56,444,272,565
21,503,495,566
312,648,536,567
450,312,125,567
348,435,404,568
485,663,370,569
251,485,333,569
56,549,565,570
676,339,463,571
485,676,253,571
564,709,208,573
623,197,110,574
293,623,80,574
620,611,512,575
376,620,211,575
611,376,250,575
565,311,311,577
310,565,141,577
311,310,349,577
644,333,388,578
333,588,109,578
145,365,157,579
510,415,517,581
415,46,203,581
206,285,254,582
533,143,353,583
143,324,508,583
667,417,580,584
590,289,264,585
289,146,247,585
703,130,556,586
130,433,174,586
492,90,509,587
496,645,381,589
357,496,407,589
267,430,402,590
448,391,209,591
276,448,312,591
391,276,394,591
356,251,468,592
232,309,176,593
247,192,192,595
246,532,448,596
324,246,144,596
591,356,325,598
500,591,306,598
356,500,592,598
630,134,200,600
598,172,412,601
241,598,365,601
172,241,91,601
142,314,319,603
700,182,164,604
477,700,204,604
182,477,516,604
53,486,478,605
136,675,434,606
607,442,464,607
442,190,562,607
351,237,529,608
465,354,444,611
262,465,456,611
354,262,430,611
49,417,231,612
161,341,329,613
159,534,533,616
213,159,160,616
365,311,304,617
549,444,565,618
688,430,590,619
217,688,156,619
430,217,375,619
623,199,80,620
199,454,550,620
550,174,502,621
310,235,349,622
239,406,466,623
344,239,11,623
661,261,615,624
261,226,201,624
525,7,507,625
132,307,300,626
242,544,194,627
436,96,314,628
96,420,233,628
618,412,476,629
225,411,149,630
13,453,359,631
57,549,570,634
370,57,87,634
291,399,279,635
274,429,320,636
263,274,559,636
514,280,341,637
561,521,255,638
418,561,73,638
486,388,380,639
54,486,605,639
388,54,146,639
395,14,220,640
192,241,365,641
550,552,621,644
255,550,84,644
554,402,358,645
310,554,622,645
402,310,213,645
706,282,150,646
47,415,203,647
424,75,88,648
680,141,469,649
399,680,572,649
471,27,602,650
27,377,99,650
414,52,158,651
356,573,325,652
299,356,185,652
417,48,231,653
551,48,653,654
47,551,647,654
436,420,628,655
383,457,298,656
212,383,191,656
188,482,563,657
431,188,367,657
624,309,593,658
465,624,456,658
211,210,387,659
628,156,248,661
568,233,132,663
412,568,323,663
233,412,629,663
657,174,662,664
174,586,235,664
617,163,104,665
163,459,74,665
208,641,376,666
409,37,130,668
416,275,267,669
275,394,433,669
334,444,618,670
254,334,145,670
273,667,580,671
405,273,207,671
398,189,332,672
494,224,72,673
332,494,405,673
224,332,528,673
566,14,640,674
13,566,631,674
442,191,464,676
49,501,612,677
502,391,355,679
391,145,209,679
557,219,438,680
219,512,44,680
142,484,47,681
209,539,165,682
545,400,395,683
287,545,554,683
400,287,258,683
462,86,413,684
568,490,323,685
290,449,287,686
361,428,184,687
28,471,602,689
423,28,307,689
622,208,428,690
421,233,182,692
377,421,330,692
233,377,132,692
577,37,668,693
460,443,678,694
443,170,105,694
574,97,515,695
97,436,314,695
560,86,684,697
421,25,523,698
389,421,8,698
25,389,411,698
510,46,581,700
194,710,451,701
513,448,538,702
126,513,256,702
448,126,532,702
591,61,306,703
60,591,443,703
482,511,563,704
195,482,472,704
201,437,41,705
175,201,543,705
491,271,261,706
271,472,183,706
460,170,694,708
170,346,357,708
290,589,686,709
604,305,510,710
582,52,651,711
202,618,476,712
268,202,83,712
425,286,168,713
504,410,216,714
394,359,488,715
359,223,540,715
556,305,396,716
305,379,121,716
222,655,368,717
606,222,309,717
650,23,21,718
23,401,113,718
711,556,259,719
556,379,716,719
613,584,594,723
350,613,23,723
584,350,643,723
527,345,398,725
345,403,416,725
409,212,119,726
404,409,498,726
582,51,711,728
51,446,352,728
584,154,594,730
154,408,313,730
672,477,450,731
185,672,78,731
477,185,305,731
492,89,587,732
464,492,699,732
89,464,486,732
282,498,126,733
522,606,309,734
168,522,315,734
547,531,557,735
531,326,195,735
488,558,576,737
306,488,470,737
358,300,308,738
501,417,612,739
273,501,548,739
417,273,580,739
142,609,681,740
323,142,319,740
560,290,162,741
462,560,684,741
290,462,709,741
222,522,309,742
261,555,615,743
302,261,449,743
161,602,271,744
479,161,85,744
155,518,3,745
463,155,316,745
293,197,574,746
494,152,100,747
152,493,219,747
521,543,418,748
193,521,660,748
279,447,462,749
673,488,576,750
488,171,327,750
541,232,176,751
322,291,414,753
420,95,233,754
568,187,685,755
256,568,310,755
8,578,553,756
501,446,548,757
50,501,677,757
446,50,352,757
264,632,292,758
543,382,432,759
382,238,246,759
80,681,555,760
447,80,107,760
226,366,201,761
656,565,382,762
565,382,246,762
458,69,230,763
64,455,610,764
413,64,217,764
645,402,389,765
357,645,589,765
402,357,425,765
585,544,627,766
555,661,615,767
207,555,82,767
528,478,442,768
10,528,609,768
478,10,551,768
428,149,154,769
468,160,241,771
160,335,274,771
687,253,301,772
552,232,751,773
232,463,326,773
637,81,75,775
703,433,586,778
433,207,82,778
6,542,727,779
525,6,625,779
460,346,708,780
346,213,364,780
644,83,722,781
83,474,345,781
206,639,582,782
503,206,408,782
258,151,147,783
321,269,117,784
173,321,696,784
440,441,286,785
395,566,640,786
579,252,260,787
252,241,641,787
214,540,36,788
668,123,707,789
132,668,626,789
180,544,766,791
278,464,699,793
473,427,240,794
285,473,427,794
427,285,190,794
30,608,736,795
451,30,386,795
94,476,521,796
445,395,440,797
237,445,529,797
38,659,339,798
577,36,693,799
36,467,393,799
150,347,42,800
700,526,204,801
626,354,430,802
180,626,791,802
354,180,350,802
44,612,688,803
475,44,452,803
298,210,659,804
542,313,221,805
525,542,779,805
313,525,49,805
408,491,487,806
332,408,528,806
343,630,200,807
307,343,409,807
296,210,804,808
